Where are you living currently?,How long have you been in Wichita? (in months),What is your apartment name? (street name if housing),How many people are staying in your unit?,What is the size of your unit?,"Overall, how satisfied are you with your current living?","On a scale of responsiveness, how efficient is the management of your apartment complex? (in maintenance services etc.,)",What are your thoughts on the level of safety in the vicinity of your residence?,What is the total monthly rent of your unit?,"What was the total amount you paid initially, covering fees such as application fees, deposit fees, and others?",Are you paying rental insurance for your unit monthly?,"If yes, what is your monthly rental insurance?","What is the approximate total amount of monthly bills (electricity, parking, etc.,) not included in your rent?",Do your apartment require guarantor?,Is your apartment pet friendly?,What is your preferred mode of transportation when leaving your residence?,What is the duration of time it takes you to walk from your residence to the closest transit stop?,What is the duration of time it takes for transit to reach from your stop to the university?,"What is the approximate duration of time, in minutes, it takes for you to reach your closest grocery store?",What is the approximate duration of time it takes for you to reach your preferred nearby restaurant?,What type of laundry amenities are available in your accommodation?
Apartment,45,Parc,6,2 bed 2 bath,3,3,5,0,1,No,0,4,Don't know,Yes,Transit,3.0,9.0,6.0,2.0,Need to go to other place for this facility
House you rent,15,Tall oaks,4,2 bed 1.5 bath,4,3,5,825,300,No,0,225,Don't know,Yes,Transit,5.0,5.0,5.0,5.0,Need to go to other place for this facility
Apartment,9,Tall oaks,3,2 bed 1.5 bath,5,5,5,0,350,No,0,600,Don't know,Yes,Transit,3.0,10.0,10.0,15.0,In the apartment complex
House you rent,9,21W,6,2 bed 1.5 bath,4,3,3,1050,200,No,0,200,Don't know,Yes,Transit,2.0,5.0,5.0,5.0,In the apartment complex
Apartment,9,The Landing,2,1 bed 1 bath,2,2,3,795,335,No,0,180,No,Yes,Transit,2.0,5.0,2.0,2.0,In the apartment complex
Apartment,8,Tall oaks,2,1 bed 1 bath,4,5,5,690,1000,No,0,200,No,Yes,Transit,5.0,15.0,20.0,15.0,In the apartment complex
Apartment,9,Brickstone,4,2 bed 1.5 bath,3,5,5,950,1120,Yes,0,300,No,Yes,Transit,6.0,5.0,10.0,20.0,In the apartment complex
Apartment,4,Parc,6,2 bed 1.5 bath,5,5,5,1160,500,Yes,86,60,No,Yes,Transit,2.0,10.0,5.0,15.0,Need to go to other place for this facility
Apartment,5,21W,4,1 bed 1 bath,3,2,2,755,250,Yes,13,220,No,Yes,Transit,2.0,5.0,3.0,3.0,In the apartment complex
Apartment,4,Brickstone,4,2 bed 1.5 bath,4,4,4,1030,1100,Yes,0,250,No,Yes,Transit,7.0,5.0,10.0,10.0,In the apartment complex
House you rent,3,Other,7,2 bed 1 bath,4,4,5,800,800,No,0,350,No,Yes,Transit,10.0,5.0,30.0,20.0,Need to go to other place for this facility
